Date,year,doy,dap,value,depth_id,depth,treat,M_ID,meas_ID,type,sub_type,units
11/17/2014,2014,321,125,23.24135417,TS2,5,CP,5,stemp,msr,NA,°C
11/18/2014,2014,322,126,23.32891304,TS2,5,CP,5,stemp,msr,NA,°C
11/19/2014,2014,323,127,24.0778125,TS2,5,CP,5,stemp,msr,NA,°C
11/20/2014,2014,324,128,23.97895833,TS2,5,CP,5,stemp,msr,NA,°C
11/21/2014,2014,325,129,24.32416667,TS2,5,CP,5,stemp,msr,NA,°C
11/22/2014,2014,326,130,24.46666667,TS2,5,CP,5,stemp,msr,NA,°C
11/23/2014,2014,327,131,24.02479167,TS2,5,CP,5,stemp,msr,NA,°C
11/24/2014,2014,328,132,24.45302083,TS2,5,CP,5,stemp,msr,NA,°C
11/25/2014,2014,329,133,24.57833333,TS2,5,CP,5,stemp,msr,NA,°C
11/26/2014,2014,330,134,24.39489583,TS2,5,CP,5,stemp,msr,NA,°C
11/27/2014,2014,331,135,24.73614583,TS2,5,CP,5,stemp,msr,NA,°C
11/28/2014,2014,332,136,24.56385417,TS2,5,CP,5,stemp,msr,NA,°C
11/29/2014,2014,333,137,24.1953125,TS2,5,CP,5,stemp,msr,NA,°C
11/30/2014,2014,334,138,24.359375,TS2,5,CP,5,stemp,msr,NA,°C
12/01/2014,2014,335,139,24.634375,TS2,5,CP,5,stemp,msr,NA,°C
12/02/2014,2014,336,140,24.54010417,TS2,5,CP,5,stemp,msr,NA,°C
12/03/2014,2014,337,141,24.49375,TS2,5,CP,5,stemp,msr,NA,°C
12/04/2014,2014,338,142,24.52427083,TS2,5,CP,5,stemp,msr,NA,°C
12/05/2014,2014,339,143,23.71354167,TS2,5,CP,5,stemp,msr,NA,°C
12/06/2014,2014,340,144,23.68385417,TS2,5,CP,5,stemp,msr,NA,°C
12/07/2014,2014,341,145,24.263125,TS2,5,CP,5,stemp,msr,NA,°C
12/08/2014,2014,342,146,24.535625,TS2,5,CP,5,stemp,msr,NA,°C
12/09/2014,2014,343,147,24.46229167,TS2,5,CP,5,stemp,msr,NA,°C
12/10/2014,2014,344,148,24.16789474,TS2,5,CP,5,stemp,msr,NA,°C
12/11/2014,2014,345,149,24.25760417,TS2,5,CP,5,stemp,msr,NA,°C
12/12/2014,2014,346,150,24.68364583,TS2,5,CP,5,stemp,msr,NA,°C
12/13/2014,2014,347,151,23.88083333,TS2,5,CP,5,stemp,msr,NA,°C
12/14/2014,2014,348,152,24.00385417,TS2,5,CP,5,stemp,msr,NA,°C
12/15/2014,2014,349,153,23.82083333,TS2,5,CP,5,stemp,msr,NA,°C
12/16/2014,2014,350,154,23.59083333,TS2,5,CP,5,stemp,msr,NA,°C
12/17/2014,2014,351,155,24.05239583,TS2,5,CP,5,stemp,msr,NA,°C
12/18/2014,2014,352,156,24.771875,TS2,5,CP,5,stemp,msr,NA,°C
12/19/2014,2014,353,157,25.26364583,TS2,5,CP,5,stemp,msr,NA,°C
12/20/2014,2014,354,158,24.67583333,TS2,5,CP,5,stemp,msr,NA,°C
12/21/2014,2014,355,159,25.0578125,TS2,5,CP,5,stemp,msr,NA,°C
12/22/2014,2014,356,160,25.0559375,TS2,5,CP,5,stemp,msr,NA,°C
12/23/2014,2014,357,161,24.02802083,TS2,5,CP,5,stemp,msr,NA,°C
12/24/2014,2014,358,162,23.49229167,TS2,5,CP,5,stemp,msr,NA,°C
12/25/2014,2014,359,163,24.1921875,TS2,5,CP,5,stemp,msr,NA,°C
12/26/2014,2014,360,164,25.08614583,TS2,5,CP,5,stemp,msr,NA,°C
12/27/2014,2014,361,165,25.52260417,TS2,5,CP,5,stemp,msr,NA,°C
12/28/2014,2014,362,166,25.67135417,TS2,5,CP,5,stemp,msr,NA,°C
12/29/2014,2014,363,167,25.37208333,TS2,5,CP,5,stemp,msr,NA,°C
12/30/2014,2014,364,168,24.6125,TS2,5,CP,5,stemp,msr,NA,°C
12/31/2014,2014,365,169,24.81635417,TS2,5,CP,5,stemp,msr,NA,°C
01/01/2015,2015,1,170,25.30926316,TS2,5,CP,5,stemp,msr,NA,°C
01/02/2015,2015,2,171,25.46458333,TS2,5,CP,5,stemp,msr,NA,°C
01/03/2015,2015,3,172,25.43572917,TS2,5,CP,5,stemp,msr,NA,°C
01/04/2015,2015,4,173,24.9978125,TS2,5,CP,5,stemp,msr,NA,°C
01/05/2015,2015,5,174,24.9690625,TS2,5,CP,5,stemp,msr,NA,°C
01/06/2015,2015,6,175,24.85270833,TS2,5,CP,5,stemp,msr,NA,°C
01/07/2015,2015,7,176,25.35041667,TS2,5,CP,5,stemp,msr,NA,°C
01/08/2015,2015,8,177,25.49114583,TS2,5,CP,5,stemp,msr,NA,°C
01/09/2015,2015,9,178,25.50541667,TS2,5,CP,5,stemp,msr,NA,°C
01/10/2015,2015,10,179,25.88833333,TS2,5,CP,5,stemp,msr,NA,°C
01/11/2015,2015,11,180,26.35885417,TS2,5,CP,5,stemp,msr,NA,°C
